,City,Cloudiness,Country,Date,Humidity,Lat,Lng,Max Temp,Wind Speed
0,Vryburg,23,ZA,1561588378,77,-26.96,24.73,51.71,18.19
1,Albany,75,US,1561588081,45,42.65,-73.75,86.0,10.29
2,Westport,3,US,1561588381,45,41.14,-73.36,88.0,3.29
3,Severo-Kurilsk,100,RU,1561588382,97,50.68,156.12,41.09,14.92
4,Ornskoldsvik,63,SE,1561588199,54,63.29,18.72,55.4,13.87
5,Busselton,25,AU,1561588384,45,-33.64,115.35,57.0,32.19
6,Puerto Ayora,20,EC,1561588385,61,-0.74,-90.35,80.6,23.04
7,Vila,0,IT,1561588387,78,45.18,8.4,86.0,2.24
8,Butaritari,83,KI,1561588388,77,3.07,172.79,83.39,13.22
9,Santona,2,ES,1561588389,82,43.44,-3.46,69.8,8.05
10,Arraial do Cabo,0,BR,1561588390,78,-22.97,-42.02,82.4,5.82
11,Puerto El Triunfo,75,SV,1561588391,59,13.27,-88.55,91.4,4.7
12,Mount Isa,37,AU,1561588392,50,-20.73,139.49,55.4,5.82
13,Cape Town,0,ZA,1561588228,93,-33.93,18.42,52.0,8.05
14,Punta Arenas,0,CL,1561588395,80,-53.16,-70.91,30.2,8.05
15,Rikitea,44,PF,1561588396,81,-23.12,-134.97,74.39,11.18
16,Novaya Lyada,88,RU,1561588397,84,52.71,41.64,58.55,8.88
17,Haines Junction,99,CA,1561588398,59,60.75,-137.51,59.99,2.13
18,Vaini,95,IN,1561588399,88,15.34,74.49,77.99,4.38
19,Huilong,100,CN,1561588400,96,31.15,106.5,70.79,4.41
20,Tiksi,3,RU,1561588401,39,71.64,128.87,68.09,10.6
21,Lompoc,1,US,1561588220,56,34.64,-120.46,73.0,14.99
22,Damilag,100,PH,1561588407,94,8.35,124.81,77.0,5.99
23,Khatanga,0,RU,1561588408,41,71.98,102.47,53.15,8.97
24,Mount Hagen,100,PG,1561588409,81,-5.86,144.23,59.81,3.98
25,Port Alfred,81,ZA,1561588410,87,-33.59,26.89,60.01,7.0
26,Ushuaia,75,AR,1561588411,79,-54.81,-68.31,28.4,20.8
27,Taksimo,100,RU,1561588412,56,56.36,114.84,61.97,3.06
28,Medvezhyegorsk,66,RU,1561588414,74,62.92,34.47,49.19,5.41
29,Jati,16,PK,1561588415,78,24.35,68.27,83.39,15.48
30,Newport,90,US,1561588178,88,41.49,-71.31,80.01,9.17
31,Jamestown,0,AU,1561588210,55,-33.21,138.6,58.37,16.89
32,Flinders,20,AU,1561588419,100,-34.58,150.85,61.0,5.82
33,Ribeira Grande,94,PT,1561588420,75,38.52,-28.7,65.39,15.21
34,Vanimo,33,PG,1561588421,72,-2.67,141.3,81.95,3.36
35,Koumac,96,NC,1561588422,92,-20.56,164.28,71.69,15.32
36,Boguchar,21,RU,1561588423,77,49.93,40.55,58.01,3.0
37,Baykit,83,RU,1561588424,51,61.68,96.39,71.33,2.71
38,Atuona,0,PF,1561588426,77,-9.8,-139.03,80.51,16.91
39,Tautira,75,PF,1561588427,70,-17.73,-149.15,84.2,10.29
40,Hilo,20,US,1561588428,51,19.71,-155.08,86.0,11.41
41,Karratha,91,AU,1561588429,53,-20.74,116.85,68.09,2.84
42,Havoysund,75,NO,1561588430,81,71.0,24.66,46.4,27.51
43,East London,59,ZA,1561588434,58,-33.02,27.91,59.09,13.56
44,Dingle,100,PH,1561588435,82,11.0,122.67,80.15,7.72
45,Dikson,100,RU,1561588437,94,73.51,80.55,33.71,17.11
46,Barrow,99,AR,1561588438,33,-38.31,-60.23,50.81,21.47
47,Kodiak,1,US,1561588439,54,39.95,-94.76,87.01,11.41
48,Bathsheba,20,BB,1561588440,74,13.22,-59.52,82.4,17.22
49,Tuatapere,92,NZ,1561588441,81,-46.13,167.69,50.0,1.01
50,Araouane,9,ML,1561588442,7,18.9,-3.53,100.49,7.9
51,Megion,90,RU,1561588443,100,61.04,76.11,50.0,4.47
52,Thompson,90,CA,1561588445,67,55.74,-97.86,60.8,3.36
53,Moroni,20,GR,1561588446,74,35.09,24.92,79.0,11.41
54,Chiquimula,68,GT,1561588447,93,14.8,-89.55,68.63,5.1
55,Nanortalik,100,GL,1561588448,99,60.14,-45.24,38.75,8.39
56,Avarua,43,CK,1561588236,69,-21.21,-159.78,77.0,4.7
57,Mataura,30,NZ,1561588450,81,-46.19,168.86,50.0,1.01
58,Bredasdorp,0,ZA,1561588452,93,-34.53,20.04,55.99,2.24
59,Swan River,81,CA,1561588453,63,52.11,-101.27,64.85,4.52
60,Tuktoyaktuk,90,CA,1561588454,80,69.44,-133.03,39.2,18.34
61,Cururupu,82,BR,1561588455,95,-1.82,-44.87,73.49,2.26
62,Waipawa,0,NZ,1561588456,96,-39.94,176.59,39.0,3.18
63,Port Blair,100,IN,1561588458,81,11.67,92.75,83.93,20.09
64,Carnarvon,0,ZA,1561588462,42,-30.97,22.13,40.37,5.44
65,Nalgonda,94,IN,1561588463,70,17.05,79.27,81.23,16.46
66,Port Antonio,20,JM,1561588464,62,18.18,-76.45,87.8,23.04
67,Hithadhoo,58,MV,1561588465,72,-0.6,73.08,84.11,8.81
68,Lagoa,0,PT,1561588466,72,37.14,-8.45,68.0,8.05
69,Chokurdakh,0,RU,1561588468,32,70.62,147.9,65.57,13.65
70,Codrington,75,AU,1561588469,100,-28.95,153.24,60.8,9.48
71,Sendafa,75,ET,1561588473,67,9.16,39.02,62.6,4.7
72,Castro,90,CL,1561588474,93,-42.48,-73.76,46.4,11.41
73,Qaanaaq,13,GL,1561588476,68,77.48,-69.36,36.23,3.49
74,Touros,20,BR,1561588477,88,-5.2,-35.46,77.0,5.82
75,Pokhara,63,NP,1561588478,77,28.21,83.99,56.39,2.3
76,Port Elizabeth,1,US,1561588479,45,39.31,-74.98,91.0,8.05
77,Norman Wells,40,CA,1561588480,41,65.28,-126.83,59.0,8.05
78,Yakeshi,100,CN,1561588481,80,49.28,120.73,61.43,15.86
79,Hobart,0,AU,1561588483,86,-42.88,147.33,43.0,12.75
80,Victoria,75,BN,1561588406,94,5.28,115.24,78.8,13.0
81,Paamiut,100,GL,1561588485,100,61.99,-49.67,40.37,4.85
82,Mahibadhoo,100,MV,1561588486,72,3.78,72.97,83.75,6.62
83,Baikunthpur,100,IN,1561588487,83,23.26,82.56,76.73,9.15
84,Lebu,75,ET,1561588489,67,8.96,38.73,62.6,4.7
85,Kahului,90,US,1561588490,100,20.89,-156.47,82.4,11.41
86,Wagar,90,US,1561588491,62,31.44,-87.99,93.0,5.97
87,Gimli,24,CA,1561588495,30,50.63,-96.99,81.0,3.0
88,La Ronge,75,CA,1561588496,67,55.1,-105.3,62.6,9.17
89,Northam,75,AU,1561588498,76,-31.65,116.67,53.6,8.05
90,Hermanus,0,ZA,1561588499,90,-34.42,19.24,55.99,5.01
91,Provideniya,90,RU,1561588500,87,64.42,-173.23,53.6,13.42
92,Saint-Augustin,75,CA,1561588501,65,45.63,-73.98,80.01,5.82
93,Eureka,75,US,1561588361,72,40.8,-124.16,69.8,11.41
94,Svetlaya,100,RU,1561588506,98,46.54,138.33,43.97,3.6
95,Srandakan,100,ID,1561588508,80,-7.94,110.25,76.19,13.33
96,Srednekolymsk,77,RU,1561588509,29,67.46,153.71,70.97,18.25
97,Bluff,10,AU,1561588510,65,-23.58,149.07,68.09,25.19
98,Cumana,20,VE,1561588511,74,10.46,-64.17,84.2,25.77
99,Arica,0,CL,1561588512,67,-18.48,-70.32,62.6,8.05
100,Sioux Lookout,75,CA,1561588273,60,50.1,-91.92,78.8,10.29
101,Longyearbyen,40,NO,1561588514,70,78.22,15.63,42.8,14.99
